project,sprint.name,sprint.startDate,sprint.endDate,key,sprint.length
mesos,Twitter Mesos Q2 Sprint 5,2015-06-08 19:00:00+00:00,2015-06-22 18:00:00+00:00,238,13 days 23:00:00.000000000
mesos,Mesosphere Sprint 13,2015-06-22 17:00:56.519000+00:00,2015-07-06 16:00:00+00:00,374,13 days 22:59:03.481000000
mesos,Twitter Mesos Q2 Sprint 6,2015-06-22 18:27:42.208000+00:00,2015-07-06 18:00:00+00:00,273,13 days 23:32:17.792000000
mesos,Mesosphere Sprint 14,2015-07-06 17:00:31.598000+00:00,2015-07-20 17:00:00+00:00,60,13 days 23:59:28.402000000
mesos,Twitter Mesos Q3 Sprint 1,2015-07-06 18:52:38.980000+00:00,2015-07-20 18:00:00+00:00,258,13 days 23:07:21.020000000
mesos,Mesosphere Sprint 15,2015-07-20 20:00:46.527000+00:00,2015-08-03 17:00:00+00:00,497,13 days 20:59:13.473000000
mesos,Twitter Mesos Q3 Sprint 2,2015-07-21 19:09:41.818000+00:00,2015-08-03 18:00:00+00:00,122,12 days 22:50:18.182000000
mesos,Twitter Mesos Q3 Sprint 3,2015-08-03 18:22:05.146000+00:00,2015-08-17 18:00:00+00:00,121,13 days 23:37:54.854000000
mesos,Mesosphere Sprint 16,2015-08-03 20:00:40.299000+00:00,2015-08-17 19:00:00+00:00,592,13 days 22:59:19.701000000
mesos,Mesosphere Sprint 17,2015-08-17 19:00:48.853000+00:00,2015-08-31 19:00:00+00:00,621,13 days 23:59:11.147000000
